round,event,ack,cwnd,ssthresh
1,slow_start,1,2.0,16.0
2,slow_start,2,3.0,16.0
3,slow_start,3,4.0,16.0
4,slow_start,4,5.0,16.0
5,slow_start,5,6.0,16.0
6,slow_start,6,7.0,16.0
7,slow_start,7,8.0,16.0
8,slow_start,8,9.0,16.0
9,slow_start,9,10.0,16.0
10,slow_start,10,11.0,16.0
11,slow_start,11,12.0,16.0
12,slow_start,12,13.0,16.0
13,slow_start,13,14.0,16.0
14,slow_start,14,15.0,16.0
15,slow_start,15,16.0,16.0
16,congestion_avoidance,16,16.062,16.0
17,congestion_avoidance,17,16.125,16.0
18,congestion_avoidance,18,16.187,16.0
19,congestion_avoidance,19,16.249,16.0
20,congestion_avoidance,20,16.31,16.0
21,congestion_avoidance,21,16.371,16.0
22,congestion_avoidance,22,16.432,16.0
23,congestion_avoidance,23,16.493,16.0
24,congestion_avoidance,24,16.554,16.0
25,congestion_avoidance,25,16.614,16.0
26,congestion_avoidance,26,16.675,16.0
27,congestion_avoidance,27,16.735,16.0
28,congestion_avoidance,28,16.794,16.0
29,congestion_avoidance,29,16.854,16.0
30,congestion_avoidance,30,16.913,16.0
31,congestion_avoidance,31,16.972,16.0
32,congestion_avoidance,32,17.031,16.0
33,congestion_avoidance,33,17.09,16.0
34,congestion_avoidance,34,17.148,16.0
35,congestion_avoidance,35,17.207,16.0
36,congestion_avoidance,36,17.265,16.0
37,congestion_avoidance,37,17.323,16.0
38,congestion_avoidance,38,17.381,16.0
39,congestion_avoidance,39,17.438,16.0
40,congestion_avoidance,40,17.495,16.0
41,congestion_avoidance,41,17.553,16.0
42,congestion_avoidance,42,17.61,16.0
43,congestion_avoidance,43,17.666,16.0
44,congestion_avoidance,44,17.723,16.0
45,congestion_avoidance,45,17.779,16.0
46,congestion_avoidance,46,17.836,16.0
47,congestion_avoidance,47,17.892,16.0
48,congestion_avoidance,48,17.948,16.0
49,congestion_avoidance,49,18.003,16.0
50,congestion_avoidance,50,18.059,16.0
